,DFH,DFO,DSH,DSO,NFH,NFO,NSH,NSO
DFH,0.08047058823529413,0.5275294117647059,0.020117647058823532,0.13188235294117648,0.025411764705882356,0.16658823529411765,0.006352941176470589,0.04164705882352941
DFO,0.13511111111111113,0.4728888888888889,0.03377777777777778,0.11822222222222223,0.042666666666666665,0.14933333333333332,0.010666666666666666,0.03733333333333333
DSH,0.008621848739495798,0.05652100840336134,0.09196638655462185,0.602890756302521,0.002722689075630252,0.017848739495798318,0.02904201680672269,0.19038655462184872
DSO,0.014476190476190476,0.050666666666666665,0.1544126984126984,0.5404444444444445,0.004571428571428571,0.016,0.048761904761904756,0.17066666666666666
NFH,0.016638655462184876,0.10907563025210085,0.004159663865546219,0.027268907563025212,0.08924369747899161,0.5850420168067227,0.022310924369747902,0.14626050420168069
NFO,0.027936507936507936,0.09777777777777778,0.006984126984126984,0.024444444444444446,0.14984126984126986,0.5244444444444445,0.037460317460317465,0.13111111111111112
NSH,0.0017827130852340934,0.011686674669867947,0.019015606242497,0.12465786314525809,0.009561824729891956,0.06268307322929172,0.10199279711884754,0.6686194477791116
NSO,0.0029931972789115644,0.010476190476190476,0.03192743764172335,0.11174603174603175,0.016054421768707482,0.056190476190476187,0.1712471655328798,0.5993650793650794
